timestamp,open,high,low,close
1991-01-02,100,100,100,100
1991-01-03,99.09,99.09,99.09,99.09
1991-01-04,98.51,98.51,98.51,98.51
1991-01-07,101.74,101.74,101.74,101.74
1991-01-08,100.28,100.28,100.28,100.28
1991-01-09,100.62,100.62,100.62,100.62
1991-01-10,100.68,100.68,100.68,100.68
1991-01-11,100.12,100.12,100.12,100.12
1991-01-14,103.37,103.37,103.37,103.37
1991-01-15,102.3,102.3,102.3,102.3
1991-01-16,103.87,103.87,103.87,103.87
1991-01-17,94.77,94.77,94.77,94.77
1991-01-18,93.32,93.32,93.32,93.32
1991-01-22,95.76,95.76,95.76,95.76
1991-01-23,95.23,95.23,95.23,95.23
1991-01-24,94.46,94.46,94.46,94.46
1991-01-25,94.68,94.68,94.68,94.68
1991-01-28,94.34,94.34,94.34,94.34
1991-01-29,94.96,94.96,94.96,94.96
1991-01-30,93.96,93.96,93.96,93.96
1991-01-31,94.41,94.41,94.41,94.41
1991-02-01,94.2,94.2,94.2,94.2
1991-02-04,94.35,94.35,94.35,94.35
1991-02-05,93.94,93.94,93.94,93.94
1991-02-06,94.52,94.52,94.52,94.52
1991-02-07,94.1,94.1,94.1,94.1
1991-02-08,95.08,95.08,95.08,95.08
1991-02-11,95.39,95.39,95.39,95.39
1991-02-12,95.75,95.75,95.75,95.75
1991-02-13,95.71,95.71,95.71,95.71
1991-02-14,95.67,95.67,95.67,95.67
1991-02-15,94.48,94.48,94.48,94.48
1991-02-19,94.18,94.18,94.18,94.18
1991-02-20,94.51,94.51,94.51,94.51
1991-02-21,93.65,93.65,93.65,93.65
1991-02-22,93.12,93.12,93.12,93.12
1991-02-25,93.68,93.68,93.68,93.68
1991-02-26,94.31,94.31,94.31,94.31
1991-02-27,94.79,94.79,94.79,94.79
1991-02-28,95.9,95.9,95.9,95.9
1991-03-01,96.67,96.67,96.67,96.67
1991-03-04,97.66,97.66,97.66,97.66
1991-03-05,98.19,98.19,98.19,98.19
1991-03-06,97.75,97.75,97.75,97.75
1991-03-07,97.66,97.66,97.66,97.66
1991-03-08,97.9,97.9,97.9,97.9
1991-03-11,96.62,96.62,96.62,96.62
1991-03-12,97.32,97.32,97.32,97.32
1991-03-13,98.05,98.05,98.05,98.05
1991-03-14,97.25,97.25,97.25,97.25
1991-03-15,96.5,96.5,96.5,96.5
1991-03-18,96.08,96.08,96.08,96.08
1991-03-19,96.84,96.84,96.84,96.84
1991-03-20,96.75,96.75,96.75,96.75
1991-03-21,97.45,97.45,97.45,97.45
1991-03-22,97.04,97.04,97.04,97.04
1991-03-25,96.08,96.08,96.08,96.08
1991-03-26,95.99,95.99,95.99,95.99
1991-03-27,95.67,95.67,95.67,95.67
1991-03-28,96.13,96.13,96.13,96.13
1991-04-01,96.78,96.78,96.78,96.78
1991-04-02,97.34,97.34,97.34,97.34
1991-04-03,96.86,96.86,96.86,96.86
1991-04-04,97.07,97.07,97.07,97.07
1991-04-05,97.1,97.1,97.1,97.1
1991-04-08,97.48,97.48,97.48,97.48
1991-04-09,97.2,97.2,97.2,97.2
1991-04-10,97.97,97.97,97.97,97.97
1991-04-11,97.61,97.61,97.61,97.61
1991-04-12,97.94,97.94,97.94,97.94
1991-04-15,98.16,98.16,98.16,98.16
1991-04-16,98.11,98.11,98.11,98.11
1991-04-17,98.1,98.1,98.1,98.1
1991-04-18,97.38,97.38,97.38,97.38
1991-04-19,97.42,97.42,97.42,97.42
