timestamp,open,high,low,close
1991-01-02,100,100,100,100
1991-01-03,99.1,99.1,99.1,99.1
1991-01-04,98.54,98.54,98.54,98.54
1991-01-07,101.83,101.83,101.83,101.83
1991-01-08,100.39,100.39,100.39,100.39
1991-01-09,100.75,100.75,100.75,100.75
1991-01-10,100.82,100.82,100.82,100.82
1991-01-11,100.28,100.28,100.28,100.28
1991-01-14,103.59,103.59,103.59,103.59
1991-01-15,102.53,102.53,102.53,102.53
1991-01-16,104.13,104.13,104.13,104.13
1991-01-17,95.02,95.02,95.02,95.02
1991-01-18,93.59,93.59,93.59,93.59
1991-01-22,96.1,96.1,96.1,96.1
1991-01-23,95.59,95.59,95.59,95.59
1991-01-24,94.83,94.83,94.83,94.83
1991-01-25,95.07,95.07,95.07,95.07
1991-01-28,94.77,94.77,94.77,94.77
1991-01-29,95.41,95.41,95.41,95.41
1991-01-30,94.42,94.42,94.42,94.42
1991-01-31,94.89,94.89,94.89,94.89
1991-02-01,94.7,94.7,94.7,94.7
1991-02-04,94.9,94.9,94.9,94.9
1991-02-05,94.5,94.5,94.5,94.5
1991-02-06,95.1,95.1,95.1,95.1
1991-02-07,94.69,94.69,94.69,94.69
1991-02-08,95.7,95.7,95.7,95.7
1991-02-11,96.05,96.05,96.05,96.05
1991-02-12,96.43,96.43,96.43,96.43
1991-02-13,96.41,96.41,96.41,96.41
1991-02-14,96.38,96.38,96.38,96.38
1991-02-15,95.2,95.2,95.2,95.2
1991-02-19,94.96,94.96,94.96,94.96
1991-02-20,95.31,95.31,95.31,95.31
1991-02-21,94.46,94.46,94.46,94.46
1991-02-22,93.94,93.94,93.94,93.94
1991-02-25,94.55,94.55,94.55,94.55
1991-02-26,95.21,95.21,95.21,95.21
1991-02-27,95.7,95.7,95.7,95.7
1991-02-28,96.84,96.84,96.84,96.84
1991-03-01,97.63,97.63,97.63,97.63
1991-03-04,98.68,98.68,98.68,98.68
1991-03-05,99.23,99.23,99.23,99.23
1991-03-06,98.8,98.8,98.8,98.8
1991-03-07,98.73,98.73,98.73,98.73
1991-03-08,98.99,98.99,98.99,98.99
1991-03-11,97.75,97.75,97.75,97.75
1991-03-12,98.47,98.47,98.47,98.47
1991-03-13,99.23,99.23,99.23,99.23
1991-03-14,98.44,98.44,98.44,98.44
1991-03-15,97.69,97.69,97.69,97.69
1991-03-18,97.31,97.31,97.31,97.31
1991-03-19,98.1,98.1,98.1,98.1
1991-03-20,98.03,98.03,98.03,98.03
1991-03-21,98.75,98.75,98.75,98.75
1991-03-22,98.35,98.35,98.35,98.35
1991-03-25,97.43,97.43,97.43,97.43
1991-03-26,97.35,97.35,97.35,97.35
1991-03-27,97.04,97.04,97.04,97.04
1991-03-28,97.52,97.52,97.52,97.52
1991-04-01,98.25,98.25,98.25,98.25
1991-04-02,98.84,98.84,98.84,98.84
1991-04-03,98.36,98.36,98.36,98.36
1991-04-04,98.59,98.59,98.59,98.59
1991-04-05,98.64,98.64,98.64,98.64
1991-04-08,99.07,99.07,99.07,99.07
1991-04-09,98.81,98.81,98.81,98.81
1991-04-10,99.6,99.6,99.6,99.6
1991-04-11,99.25,99.25,99.25,99.25
1991-04-12,99.6,99.6,99.6,99.6
1991-04-15,99.87,99.87,99.87,99.87
1991-04-16,99.83,99.83,99.83,99.83
1991-04-17,99.84,99.84,99.84,99.84
1991-04-18,99.12,99.12,99.12,99.12
1991-04-19,99.18,99.18,99.18,99.18
1991-04-22,99.35,99.35,99.35,99.35
1991-04-23,99.16,99.16,99.16,99.16
1991-04-24,98.95,98.95,98.95,98.95
1991-04-25,98.83,98.83,98.83,98.83
1991-04-26,98.71,98.71,98.71,98.71
1991-04-29,98.17,98.17,98.17,98.17
1991-04-30,97.96,97.96,97.96,97.96
1991-05-01,98.34,98.34,98.34,98.34
1991-05-02,98.1,98.1,98.1,98.1
1991-05-03,98.01,98.01,98.01,98.01
1991-05-06,98.45,98.45,98.45,98.45
1991-05-07,98.12,98.12,98.12,98.12
1991-05-08,98.04,98.04,98.04,98.04
1991-05-09,98.4,98.4,98.4,98.4
1991-05-10,97.47,97.47,97.47,97.47
1991-05-13,97.12,97.12,97.12,97.12
1991-05-14,97.07,97.07,97.07,97.07
1991-05-15,97.2,97.2,97.2,97.2
1991-05-16,96.93,96.93,96.93,96.93
1991-05-17,97.07,97.07,97.07,97.07
1991-05-20,97.27,97.27,97.27,97.27
1991-05-21,97.39,97.39,97.39,97.39
1991-05-22,96.97,96.97,96.97,96.97
1991-05-23,97.18,97.18,97.18,97.18
1991-05-24,97.15,97.15,97.15,97.15
1991-05-28,97.51,97.51,97.51,97.51
1991-05-29,96.94,96.94,96.94,96.94
1991-05-30,97.12,97.12,97.12,97.12
1991-05-31,96.89,96.89,96.89,96.89
1991-06-03,97.31,97.31,97.31,97.31
1991-06-04,97.18,97.18,97.18,97.18
1991-06-05,96.67,96.67,96.67,96.67
1991-06-06,96.64,96.64,96.64,96.64
1991-06-07,96.76,96.76,96.76,96.76
1991-06-10,96.18,96.18,96.18,96.18
1991-06-11,96.48,96.48,96.48,96.48
1991-06-12,96.48,96.48,96.48,96.48
